ID_AREAS_PRIORITARIAS_SBN_2022;AREA_M2;EXP_ALAG;EXP_DESL;EXP_INUN;EXP_ONDA;VUL_ALAG;VUL_DESL;VUL_INUN;VUL_ONDA;AC_ALAG;AC_DESL;AC_INUN;AC_ONDA;CON_AMB;CON_ANT;CON_TOT;SBN_ALAG;SBN_DESL;SBN_INUN;SBN_ONDA;GEOMETRIA
113;113263.04;0.3;0.0;0.24;1.8;3.1;;2.34;4.55;1.7;;1.29;3.18;1.25;1.67;1.46;1.58;;1.38;2.32;MULTIPOLYGON (((606682.10 7789047.89, 606793.77 7789220.93, 606692.35 7789401.68, 606479.25 7789409.38, 606367.58 7789236.34, 606469.00 7789055.59, 606682.10 7789047.89)))
114;113252.63;0.6;3.22;0.01;2.35;3.1;3.4;2.35;4.6;1.85;3.31;1.18;3.47;0.0;1.67;0.84;1.35;2.08;1.01;2.16;MULTIPOLYGON (((606661.59 7788340.35, 606773.26 7788513.38, 606671.84 7788694.11, 606458.75 7788701.82, 606347.08 7788528.79, 606448.50 7788348.06, 606661.59 7788340.35)))
115;113254.78;0.6;0.46;0.1;2.0;3.4;3.55;2.63;4.9;2.0;2.01;1.37;3.45;0.0;1.67;0.84;1.42;1.42;1.11;2.15;MULTIPOLYGON (((606347.08 7788528.79, 606458.75 7788701.82, 606357.33 7788882.56, 606144.24 7788890.26, 606032.57 7788717.23, 606133.99 7788536.49, 606347.08 7788528.79)))
116;113255.7;0.3;2.71;0.0;2.35;3.15;3.5;;4.7;1.73;3.11;;3.53;1.25;1.67;1.46;1.6;2.29;;2.5;MULTIPOLYGON (((606986.35 7788505.67, 607098.03 7788678.70, 606996.61 7788859.44, 606783.52 7788867.15, 606671.84 7788694.11, 606773.26 7788513.38, 606986.35 7788505.67)))
117;113230.88;0.0;0.0;0.0;0.65;;;;1.35;0.0;;;1.0;0.0;0.0;0.0;0.0;;;0.5;MULTIPOLYGON (((605981.35 7786948.52, 606093.01 7787121.53, 605991.60 7787302.24, 605778.52 7787309.95, 605666.86 7787136.94, 605768.28 7786956.23, 605981.35 7786948.52)))
118;113233.02;0.0;0.0;0.0;1.85;;;;1.35;0.0;;;1.6;0.0;0.0;0.0;0.0;;;0.8;MULTIPOLYGON (((605666.86 7787136.94, 605778.52 7787309.95, 605677.10 7787490.67, 605464.02 7787498.37, 605352.37 7787325.36, 605453.79 7787144.65, 605666.86 7787136.94)))
49;113544.02;0.4;0.44;0.0;2.85;4.8;4.55;;4.45;2.6;2.5;;3.65;0.0;1.67;0.84;1.72;1.67;;2.25;MULTIPOLYGON (((617127.46 7806924.56, 617239.31 7807097.90, 617137.87 7807278.92, 616924.58 7807286.61, 616812.73 7807113.27, 616914.18 7806932.25, 617127.46 7806924.56)))
50;113544.89;0.0;0.09;0.0;2.95;;1.95;;1.95;0.0;1.02;;3.7;0.0;0.0;0.0;0.0;0.51;;1.85;MULTIPOLYGON (((617767.33 7806901.50, 617879.18 7807074.84, 617777.74 7807255.86, 617564.45 7807263.55, 617452.60 7807090.21, 617554.04 7806909.19, 617767.33 7806901.50)))
51;113547.04;0.0;0.0;0.0;3.15;;;;1.9;0.0;;;3.78;0.0;0.0;0.0;0.0;;;1.89;MULTIPOLYGON (((617452.60 7807090.21, 617564.45 7807263.55, 617463.01 7807444.58, 617249.72 7807452.26, 617137.87 7807278.92, 617239.31 7807097.90, 617452.60 7807090.21)))
52;113536.71;0.25;0.0;0.0;2.9;4.9;;;4.5;2.58;;;3.7;0.0;1.67;0.84;1.71;;;2.27;MULTIPOLYGON (((617431.78 7806381.51, 617543.63 7806554.84, 617442.19 7806735.85, 617228.90 7806743.54, 617117.06 7806570.21, 617218.50 7806389.19, 617431.78 7806381.51)))
53;113538.85;0.55;0.0;0.0;3.45;4.85;;;4.65;2.7;;;4.05;0.0;3.33;1.67;2.19;;;2.86;MULTIPOLYGON (((617117.06 7806570.21, 617228.90 7806743.54, 617127.46 7806924.56, 616914.18 7806932.25, 616802.33 7806758.91, 616903.77 7806577.90, 617117.06 7806570.21)))
54;113539.73;0.2;0.0;0.0;2.55;4.9;;;4.45;2.55;;;3.5;0.0;0.0;0.0;1.27;;;1.75;MULTIPOLYGON (((617756.91 7806547.15, 617868.76 7806720.48, 617767.33 7806901.50, 617554.04 7806909.19, 617442.19 7806735.85, 617543.63 7806554.84, 617756.91 7806547.15)))
55;113536.29;0.15;0.0;0.0;2.15;2.9;;;2.85;1.53;;;2.5;0.0;1.67;0.84;1.19;;;1.67;MULTIPOLYGON (((619026.20 7806146.69, 619138.06 7806320.01, 619036.64 7806501.03, 618823.35 7806508.72, 618711.49 7806335.39, 618812.92 7806154.37, 619026.20 7806146.69)))
56;113538.44;0.4;0.0;0.0;2.6;4.75;;;4.65;2.58;;;3.63;1.25;1.67;1.46;2.02;;;2.55;MULTIPOLYGON (((618711.49 7806335.39, 618823.35 7806508.72, 618721.92 7806689.73, 618508.63 7806697.42, 618396.77 7806524.09, 618498.20 7806343.07, 618711.49 7806335.39)))
